Account_Ref,Name,Industry,Tenure_Months,Monthly_Charges,Total_Charges,Contract_Type,True_Churn_Label,Num_Cases,Total_Cases,Escalated_Cases,Avg_Days_To_Resolve,Critical_Cases,High_Cases,Escalation_Rate,Avg_Monthly_Case_Load,Est_Annual_Value,Predicted_Churn_Prob,Predicted_Risk_Level,Top_Churn_Driver
ACC-0157,Stratum Health 157,Education,20,1462.53,29693.53,Month-to-Month,1,8,8,5,7.38,1,1,0.625,0.4,17550.36,0.97,High,Elevated Escalated Cases
ACC-0158,Beacon Analytics 158,Retail,17,2332.78,41542.61,One Year,1,2,2,1,2.0,0,2,0.5,0.118,27993.36,0.91,High,Elevated Escalation Rate
ACC-0159,Beacon Labs 159,Healthcare,36,2012.17,70038.01,Month-to-Month,1,1,1,0,16.0,0,0,0.0,0.028,24146.04,0.83,High,Elevated Avg Days To Resolve
ACC-0160,Apex Solutions 160,Technology,8,3881.57,29323.39,Two Year,1,5,5,0,1.6,0,1,0.0,0.625,46578.84,0.67,Medium,Elevated Monthly Charges
ACC-0161,Stratum Health 161,Retail,12,2647.64,29357.68,One Year,1,6,6,3,6.17,1,2,0.5,0.5,31771.68,0.99,High,Elevated Escalated Cases
ACC-0162,Synergy Labs 162,Manufacturing,51,1926.54,97437.67,One Year,0,0,0,0,0.0,0,0,0.0,0.0,23118.48,0.1,Low,Elevated Total Charges
ACC-0163,Synergy Tech 163,Manufacturing,26,1680.65,43373.74,Two Year,0,2,2,0,3.0,0,0,0.0,0.077,20167.8,0.03,Low,Elevated Contract Type One Year
ACC-0164,Nova Media 164,Manufacturing,51,3734.59,183366.61,Month-to-Month,0,0,0,0,0.0,0,0,0.0,0.0,44815.08,0.2,Low,Elevated Monthly Charges
ACC-0165,Cloud Ventures 165,Healthcare,7,2612.71,17795.18,One Year,0,2,2,0,5.5,0,1,0.0,0.286,31352.52,0.24,Low,Elevated Tenure Months
ACC-0166,Synergy Analytics 166,Manufacturing,25,2073.84,47723.22,Two Year,0,0,0,0,0.0,0,0,0.0,0.0,24886.08,0.04,Low,Elevated Contract Type One Year
ACC-0167,Stratum Media 167,Education,17,3829.01,63416.73,One Year,0,3,3,0,4.0,0,0,0.0,0.176,45948.12,0.25,Low,Elevated Monthly Charges
ACC-0168,Nexus Media 168,Retail,17,2337.06,36431.7,Month-to-Month,1,5,5,1,2.0,0,0,0.2,0.294,28044.72,0.96,High,Elevated Escalated Cases
ACC-0169,Beacon Tech 169,Education,15,3089.48,45950.11,Month-to-Month,0,3,3,0,0.33,0,1,0.0,0.2,37073.76,0.28,Low,Elevated Contract Type One Year
ACC-0170,Stratum Systems 170,Healthcare,29,1496.57,45328.2,One Year,0,2,2,0,0.0,0,1,0.0,0.069,17958.84,0.08,Low,Elevated Contract Type Two Year
ACC-0171,Cloud Solutions 171,Healthcare,65,2660.46,170615.03,Month-to-Month,1,1,1,0,3.0,0,0,0.0,0.015,31925.52,0.54,Medium,Elevated Contract Type One Year
ACC-0172,Vertex Ventures 172,Retail,20,2206.38,44677.89,One Year,1,1,1,0,5.0,0,0,0.0,0.05,26476.56,0.53,Medium,Elevated Industry Retail
ACC-0173,Vertex Solutions 173,Education,10,609.65,6094.19,Month-to-Month,1,4,4,2,5.25,1,0,0.5,0.4,7315.8,0.99,High,Elevated Escalated Cases
ACC-0174,Nexus Analytics 174,Technology,13,1737.34,23475.62,Month-to-Month,1,7,7,3,7.29,0,0,0.429,0.538,20848.08,0.98,High,Elevated Escalated Cases
ACC-0175,Vertex Ventures 175,Education,19,2590.62,45275.49,Month-to-Month,1,8,8,5,9.38,1,2,0.625,0.421,31087.44,1.0,High,Elevated Escalated Cases
ACC-0176,Beacon Labs 176,Finance,9,2838.88,25980.32,One Year,0,6,6,0,1.5,0,0,0.0,0.667,34066.56,0.13,Low,Elevated Tenure Months
ACC-0177,Vertex Analytics 177,Retail,20,2963.71,53947.22,Month-to-Month,1,2,2,1,11.0,0,1,0.5,0.1,35564.52,0.92,High,Elevated Escalation Rate
ACC-0178,Vertex Media 178,Retail,8,3411.9,27087.95,Month-to-Month,1,4,4,3,2.5,0,2,0.75,0.5,40942.8,1.0,High,Elevated Escalated Cases
ACC-0179,Nexus Labs 179,Retail,38,3792.3,130886.16,One Year,0,3,3,0,4.67,0,0,0.0,0.079,45507.6,0.15,Low,Elevated Monthly Charges
ACC-0180,Quantum Systems 180,Technology,7,3450.14,22949.51,Month-to-Month,1,6,6,5,16.5,2,2,0.833,0.857,41401.68,0.99,High,Elevated Escalated Cases
ACC-0181,Cloud Logistics 181,Finance,25,2827.85,66259.32,Two Year,0,1,1,0,1.0,0,0,0.0,0.04,33934.2,0.19,Low,Elevated Contract Type One Year
ACC-0182,Apex Health 182,Healthcare,34,2403.7,83413.5,Two Year,0,0,0,0,0.0,0,0,0.0,0.0,28844.4,0.16,Low,Elevated Contract Type One Year
ACC-0183,Cloud Systems 183,Manufacturing,17,2765.58,48420.83,One Year,1,2,2,1,10.0,0,1,0.5,0.118,33186.96,0.47,Medium,Elevated Escalation Rate
ACC-0184,Synergy Labs 184,Manufacturing,9,3368.79,31825.0,One Year,1,3,3,2,3.67,0,1,0.667,0.333,40425.48,0.98,High,Elevated Escalated Cases
ACC-0185,Cloud Software 185,Technology,14,1657.05,21592.87,Two Year,1,1,1,0,5.0,0,1,0.0,0.071,19884.6,0.04,Low,Elevated Tenure Months
ACC-0186,Quantum Systems 186,Technology,32,3868.49,128519.43,Two Year,1,0,0,0,0.0,0,0,0.0,0.0,46421.88,0.49,Medium,Elevated Monthly Charges
ACC-0187,Stratum Ventures 187,Education,11,2556.04,29081.87,One Year,1,3,3,1,10.33,1,0,0.333,0.273,30672.48,0.95,High,Elevated Escalation Rate
ACC-0188,Cloud Tech 188,Finance,20,3300.84,63898.56,Month-to-Month,1,9,9,5,6.78,2,3,0.556,0.45,39610.08,0.99,High,Elevated Escalated Cases
ACC-0189,Apex Logistics 189,Healthcare,11,1906.02,19492.71,Month-to-Month,1,2,2,1,7.0,1,0,0.5,0.182,22872.24,0.98,High,Elevated Escalation Rate
ACC-0190,Nexus Health 190,Technology,6,2433.52,15123.28,Two Year,0,1,1,1,2.0,0,1,1.0,0.167,29202.24,0.67,Medium,Elevated Tenure Months
ACC-0191,Beacon Ventures 191,Education,11,2252.63,23769.18,Month-to-Month,1,6,6,3,6.5,0,1,0.5,0.545,27031.56,0.99,High,Elevated Escalated Cases
ACC-0192,Stratum Solutions 192,Finance,11,1289.03,14702.57,One Year,1,2,2,1,21.0,0,0,0.5,0.182,15468.36,0.91,High,Elevated Escalation Rate
ACC-0193,Stratum Tech 193,Retail,16,2113.55,35505.64,Two Year,0,1,1,0,3.0,0,0,0.0,0.062,25362.6,0.15,Low,Elevated Industry Retail
ACC-0194,Apex Logistics 194,Retail,15,1787.05,27528.86,One Year,0,2,2,0,4.5,0,1,0.0,0.133,21444.6,0.06,Low,Elevated Contract Type Two Year
ACC-0195,Apex Tech 195,Retail,14,1627.68,22435.25,One Year,0,1,1,0,7.0,0,1,0.0,0.071,19532.16,0.23,Low,Elevated Industry Retail
ACC-0196,Quantum Health 196,Manufacturing,32,2729.7,79112.78,Month-to-Month,1,1,1,1,4.0,0,1,1.0,0.031,32756.4,0.91,High,Elevated Escalation Rate
ACC-0197,Beacon Logistics 197,Healthcare,10,2061.02,19602.65,Month-to-Month,1,5,5,4,7.8,0,2,0.8,0.5,24732.24,1.0,High,Elevated Escalated Cases
ACC-0198,Synergy Health 198,Education,40,2299.96,96166.98,One Year,0,1,1,0,3.0,0,0,0.0,0.025,27599.52,0.44,Medium,Elevated Total Charges
ACC-0199,Nova Ventures 199,Finance,11,1627.23,18080.3,Month-to-Month,1,4,4,1,4.0,0,1,0.25,0.364,19526.76,0.93,High,Elevated Escalated Cases
ACC-0200,Synergy Tech 200,Healthcare,5,1855.3,9234.09,Two Year,1,0,0,0,0.0,0,0,0.0,0.0,22263.6,0.77,High,Elevated Tenure Months
ACC-0201,Synergy Solutions 201,Technology,38,1852.32,66149.52,Month-to-Month,1,1,1,1,39.0,0,0,1.0,0.026,22227.84,0.93,High,Elevated Escalation Rate
ACC-0202,Cloud Solutions 202,Education,13,2412.31,30198.08,Month-to-Month,1,2,2,0,3.0,0,0,0.0,0.154,28947.72,0.77,High,Elevated Contract Type One Year
ACC-0203,Pulse Health 203,Manufacturing,14,3057.56,38998.53,Two Year,1,5,5,5,6.6,2,2,1.0,0.357,36690.72,0.95,High,Elevated Escalated Cases
ACC-0204,Pulse Ventures 204,Education,26,2900.68,74144.39,Two Year,0,1,1,0,0.0,0,0,0.0,0.038,34808.16,0.25,Low,Elevated Contract Type One Year
ACC-0205,Cloud Labs 205,Retail,9,916.56,8463.34,Month-to-Month,1,4,4,3,24.75,1,0,0.75,0.444,10998.72,0.99,High,Elevated Escalated Cases
ACC-0206,Stratum Ventures 206,Healthcare,7,2897.36,19382.1,Month-to-Month,1,7,7,4,6.57,0,3,0.571,1.0,34768.32,0.99,High,Elevated Escalated Cases
ACC-0207,Beacon Labs 207,Healthcare,12,3400.84,37465.38,One Year,1,2,2,1,4.5,1,1,0.5,0.167,40810.08,0.91,High,Elevated Escalation Rate
ACC-0208,Nova Labs 208,Finance,3,5010.2,14248.44,One Year,1,4,4,1,4.25,0,2,0.25,1.333,60122.4,0.98,High,Elevated Tenure Months
ACC-0209,Vertex Systems 209,Retail,14,2974.85,42353.07,One Year,0,2,2,0,3.0,0,1,0.0,0.143,35698.2,0.09,Low,Elevated Tenure Months
ACC-0210,Cloud Health 210,Retail,10,2825.64,28010.52,One Year,0,3,3,0,3.0,0,1,0.0,0.3,33907.68,0.14,Low,Elevated Industry Retail
ACC-0211,Vertex Logistics 211,Healthcare,12,3080.08,34930.77,One Year,0,1,1,0,4.0,0,0,0.0,0.083,36960.96,0.13,Low,Elevated Contract Type Two Year
ACC-0212,Vertex Logistics 212,Manufacturing,36,3066.64,102859.73,Two Year,0,1,1,0,1.0,0,1,0.0,0.028,36799.68,0.07,Low,Elevated Contract Type One Year
ACC-0213,Stratum Health 213,Technology,20,1866.06,35330.8,One Year,1,2,2,0,1.5,0,2,0.0,0.1,22392.72,0.44,Medium,Elevated High Cases
ACC-0214,Nexus Analytics 214,Finance,18,1846.33,33423.21,Month-to-Month,1,2,2,1,9.5,0,1,0.5,0.111,22155.96,0.9,High,Elevated Escalation Rate
ACC-0215,Nexus Labs 215,Retail,19,3163.58,57250.72,Month-to-Month,1,6,6,3,8.0,1,2,0.5,0.316,37962.96,1.0,High,Elevated Escalated Cases
ACC-0216,Quantum Ventures 216,Manufacturing,20,2106.69,43302.5,One Year,1,3,3,2,4.0,1,1,0.667,0.15,25280.28,0.89,High,Elevated Escalated Cases
ACC-0217,Vertex Solutions 217,Technology,25,2080.73,49440.36,Month-to-Month,1,2,2,2,1.5,0,2,1.0,0.08,24968.76,0.98,High,Elevated Escalated Cases
ACC-0218,Apex Labs 218,Manufacturing,14,2624.15,36704.28,One Year,0,0,0,0,0.0,0,0,0.0,0.0,31489.8,0.15,Low,Elevated Tenure Months
ACC-0219,Apex Solutions 219,Finance,35,2119.02,69635.21,Month-to-Month,1,6,6,3,2.83,0,3,0.5,0.171,25428.24,0.99,High,Elevated Escalated Cases
ACC-0220,Vertex Logistics 220,Finance,32,3488.9,104220.33,Two Year,0,0,0,0,0.0,0,0,0.0,0.0,41866.8,0.34,Low,Elevated Monthly Charges
ACC-0221,Cloud Tech 221,Finance,34,2388.44,76260.15,Month-to-Month,1,5,5,3,9.6,1,1,0.6,0.147,28661.28,0.99,High,Elevated Escalated Cases
ACC-0222,Nova Systems 222,Manufacturing,26,1588.93,39242.21,Two Year,0,1,1,1,1.0,0,1,1.0,0.038,19067.16,0.09,Low,Elevated Escalation Rate
ACC-0223,Nova Labs 223,Healthcare,22,1804.27,38639.53,One Year,1,3,3,2,2.0,0,0,0.667,0.136,21651.24,0.92,High,Elevated Escalated Cases
ACC-0224,Pulse Analytics 224,Education,18,1698.25,27530.56,One Year,0,0,0,0,0.0,0,0,0.0,0.0,20379.0,0.14,Low,Elevated Contract Type Two Year
ACC-0225,Pulse Tech 225,Finance,8,499.0,3670.0,Month-to-Month,1,2,2,1,20.5,1,0,0.5,0.25,5988.0,0.97,High,Elevated Escalation Rate
ACC-0226,Nova Tech 226,Manufacturing,7,3391.46,22645.5,Month-to-Month,1,2,2,1,2.5,0,1,0.5,0.286,40697.52,0.98,High,Elevated Escalation Rate
ACC-0227,Nova Systems 227,Finance,43,2581.49,111744.08,One Year,0,0,0,0,0.0,0,0,0.0,0.0,30977.88,0.07,Low,Elevated Contract Type Two Year
ACC-0228,Cloud Software 228,Retail,20,2540.71,50482.39,One Year,1,2,2,2,3.0,1,0,1.0,0.1,30488.52,0.96,High,Elevated Escalated Cases
ACC-0229,Nova Logistics 229,Education,27,2359.32,63883.89,Month-to-Month,1,7,7,5,4.14,1,3,0.714,0.259,28311.84,0.99,High,Elevated Escalated Cases
ACC-0230,Nexus Health 230,Technology,24,3412.12,83277.21,Month-to-Month,1,6,6,3,8.83,1,1,0.5,0.25,40945.44,0.99,High,Elevated Escalated Cases
ACC-0231,Synergy Tech 231,Healthcare,30,4118.88,113319.63,Month-to-Month,1,3,3,0,0.33,0,1,0.0,0.1,49426.56,0.81,High,Elevated Monthly Charges
ACC-0232,Beacon Solutions 232,Retail,6,2286.68,13744.21,Month-to-Month,1,8,8,3,9.0,0,1,0.375,1.333,27440.16,1.0,High,Elevated Escalated Cases
ACC-0233,Apex Analytics 233,Education,23,2840.71,67959.96,One Year,1,1,1,0,3.0,0,0,0.0,0.043,34088.52,0.41,Medium,Elevated Avg Monthly Case Load
ACC-0234,Synergy Logistics 234,Finance,28,1465.38,42898.43,Month-to-Month,1,2,2,0,4.0,0,0,0.0,0.071,17584.56,0.23,Low,Elevated Contract Type One Year
ACC-0235,Nexus Tech 235,Technology,7,1499.67,10992.14,One Year,0,3,3,0,1.33,0,1,0.0,0.429,17996.04,0.29,Low,Elevated Total Charges
ACC-0236,Synergy Tech 236,Technology,14,1981.97,28371.58,Two Year,0,3,3,0,2.0,0,0,0.0,0.214,23783.64,0.09,Low,Elevated Tenure Months
ACC-0237,Stratum Media 237,Finance,5,1531.06,7695.98,Month-to-Month,1,3,3,1,0.0,0,1,0.333,0.6,18372.72,0.96,High,Elevated Tenure Months
ACC-0238,Vertex Ventures 238,Technology,13,3049.05,41183.28,Two Year,0,3,3,0,6.67,0,1,0.0,0.231,36588.6,0.24,Low,Elevated Contract Type One Year
ACC-0239,Stratum Health 239,Education,53,2397.96,125412.13,One Year,0,1,1,0,0.0,0,0,0.0,0.019,28775.52,0.07,Low,Elevated Contract Type Two Year
ACC-0240,Stratum Ventures 240,Manufacturing,31,2163.39,70212.13,Two Year,0,0,0,0,0.0,0,0,0.0,0.0,25960.68,0.07,Low,Elevated Contract Type One Year
ACC-0241,Pulse Software 241,Manufacturing,28,3488.63,102032.29,Two Year,1,2,2,2,6.0,0,2,1.0,0.071,41863.56,0.94,High,Elevated Escalated Cases
ACC-0242,Stratum Logistics 242,Healthcare,13,2434.78,29482.6,One Year,1,0,0,0,0.0,0,0,0.0,0.0,29217.36,0.63,Medium,Elevated Tenure Months
ACC-0243,Synergy Health 243,Education,2,1630.2,3252.29,Two Year,0,1,1,0,10.0,0,0,0.0,0.5,19562.4,0.62,Medium,Elevated Tenure Months
ACC-0244,Synergy Media 244,Manufacturing,27,1580.96,42148.97,Two Year,0,0,0,0,0.0,0,0,0.0,0.0,18971.52,0.02,Low,Elevated Contract Type One Year
ACC-0245,Cloud Media 245,Finance,35,2128.48,76852.51,Month-to-Month,1,8,8,4,5.88,0,2,0.5,0.229,25541.76,0.99,High,Elevated Escalated Cases
ACC-0246,Apex Analytics 246,Education,33,1701.55,52653.0,One Year,1,1,1,0,5.0,0,1,0.0,0.03,20418.6,0.08,Low,Elevated Contract Type Two Year
ACC-0247,Synergy Labs 247,Retail,9,2243.47,20408.64,Month-to-Month,1,7,7,4,14.0,0,3,0.571,0.778,26921.64,1.0,High,Elevated Escalated Cases
ACC-0248,Nova Media 248,Technology,8,2190.32,17836.89,Month-to-Month,1,2,2,2,24.0,0,0,1.0,0.25,26283.84,0.99,High,Elevated Escalated Cases
ACC-0249,Beacon Media 249,Manufacturing,41,3212.31,138223.39,Two Year,0,2,2,1,10.0,0,1,0.5,0.049,38547.72,0.3,Low,Elevated Escalation Rate
ACC-0250,Synergy Ventures 250,Technology,24,2079.17,47798.36,One Year,0,1,1,0,1.0,0,1,0.0,0.042,24950.04,0.12,Low,Elevated Contract Type Two Year
ACC-0251,Stratum Solutions 251,Manufacturing,15,3347.95,45527.65,Two Year,0,2,2,0,3.5,0,1,0.0,0.133,40175.4,0.2,Low,Elevated Monthly Charges
ACC-0252,Pulse Ventures 252,Technology,14,2614.71,34074.16,Two Year,1,2,2,0,0.5,0,0,0.0,0.143,31376.52,0.5,Medium,Elevated Avg Days To Resolve
ACC-0253,Apex Systems 253,Technology,8,2071.36,15048.68,One Year,0,1,1,0,1.0,0,0,0.0,0.125,24856.32,0.25,Low,Elevated Tenure Months
ACC-0254,Cloud Solutions 254,Education,20,2901.43,55746.17,Month-to-Month,1,3,3,1,5.67,0,0,0.333,0.15,34817.16,0.89,High,Elevated Contract Type One Year
ACC-0255,Beacon Systems 255,Finance,25,2315.68,58748.29,Month-to-Month,1,5,5,2,4.2,0,2,0.4,0.2,27788.16,0.98,High,Elevated Escalated Cases
ACC-0256,Beacon Ventures 256,Retail,11,2641.46,28536.79,Month-to-Month,1,4,4,2,9.25,0,1,0.5,0.364,31697.52,1.0,High,Elevated Escalated Cases
ACC-0257,Stratum Solutions 257,Education,20,1601.96,31476.9,Month-to-Month,0,4,4,1,6.0,0,1,0.25,0.2,19223.52,0.2,Low,Elevated Contract Type One Year
ACC-0258,Synergy Tech 258,Manufacturing,33,3435.67,104907.38,Month-to-Month,1,5,5,2,3.6,0,1,0.4,0.152,41228.04,0.97,High,Elevated Escalated Cases
ACC-0259,Vertex Analytics 259,Retail,15,2394.82,35733.49,Two Year,1,3,3,1,2.67,1,0,0.333,0.2,28737.84,0.8,High,Elevated Escalation Rate
ACC-0260,Quantum Health 260,Manufacturing,13,2710.79,34365.2,Month-to-Month,1,1,1,1,3.0,0,0,1.0,0.077,32529.48,0.96,High,Elevated Escalation Rate
ACC-0261,Beacon Health 261,Retail,25,2446.26,56328.54,Month-to-Month,1,9,9,3,4.78,0,3,0.333,0.36,29355.12,0.99,High,Elevated Escalated Cases
ACC-0262,Synergy Solutions 262,Manufacturing,10,1395.16,14413.06,Month-to-Month,1,5,5,3,9.2,0,0,0.6,0.5,16741.92,0.99,High,Elevated Escalated Cases
ACC-0263,Beacon Health 263,Healthcare,27,2520.31,67669.41,Month-to-Month,1,0,0,0,0.0,0,0,0.0,0.0,30243.72,0.74,High,Elevated Contract Type One Year
ACC-0264,Beacon Health 264,Technology,13,3654.91,43947.97,Two Year,1,1,1,1,13.0,1,0,1.0,0.077,43858.92,0.77,High,Elevated Escalation Rate
ACC-0265,Quantum Systems 265,Healthcare,13,2956.49,37180.66,Two Year,1,0,0,0,0.0,0,0,0.0,0.0,35477.88,0.64,Medium,Elevated Tenure Months
ACC-0266,Nexus Health 266,Healthcare,8,1839.67,15078.74,One Year,1,0,0,0,0.0,0,0,0.0,0.0,22076.04,0.75,High,Elevated Tenure Months
ACC-0267,Beacon Health 267,Retail,25,2939.11,73400.4,Month-to-Month,1,6,6,2,5.0,0,2,0.333,0.24,35269.32,0.99,High,Elevated Escalated Cases
ACC-0268,Cloud Media 268,Manufacturing,23,2985.48,65614.29,Month-to-Month,1,4,4,2,5.0,1,0,0.5,0.174,35825.76,0.97,High,Elevated Escalated Cases
ACC-0269,Cloud Software 269,Healthcare,22,1932.34,38295.21,One Year,0,0,0,0,0.0,0,0,0.0,0.0,23188.08,0.16,Low,Elevated Industry Healthcare
ACC-0270,Apex Labs 270,Retail,65,2846.37,169782.64,Month-to-Month,1,1,1,0,2.0,0,0,0.0,0.015,34156.44,0.62,Medium,Elevated Industry Retail
ACC-0271,Nova Ventures 271,Education,12,1231.21,14594.35,Month-to-Month,0,5,5,0,1.2,0,0,0.0,0.417,14774.52,0.3,Low,Elevated Contract Type One Year
ACC-0272,Nova Systems 272,Healthcare,9,2173.52,19097.12,One Year,0,2,2,0,2.0,0,1,0.0,0.222,26082.24,0.3,Low,Elevated Tenure Months
ACC-0273,Nexus Labs 273,Manufacturing,7,4596.63,29384.18,Month-to-Month,1,3,3,0,4.0,0,0,0.0,0.429,55159.56,0.89,High,Elevated Monthly Charges
ACC-0274,Apex Logistics 274,Education,17,3478.86,61483.4,One Year,1,4,4,2,3.0,0,0,0.5,0.235,41746.32,0.97,High,Elevated Escalated Cases
ACC-0275,Vertex Systems 275,Retail,41,3178.74,122857.15,Two Year,0,1,1,0,0.0,0,1,0.0,0.024,38144.88,0.12,Low,Elevated Industry Retail
ACC-0276,Beacon Logistics 276,Manufacturing,36,2106.48,78825.44,One Year,0,0,0,0,0.0,0,0,0.0,0.0,25277.76,0.12,Low,Elevated Contract Type Two Year
ACC-0277,Quantum Health 277,Manufacturing,11,2016.2,21644.5,One Year,0,2,2,0,1.5,0,0,0.0,0.182,24194.4,0.19,Low,Elevated Tenure Months
ACC-0278,Nexus Ventures 278,Retail,16,2494.78,38820.55,Month-to-Month,1,6,6,3,5.17,0,2,0.5,0.375,29937.36,1.0,High,Elevated Escalated Cases
ACC-0279,Pulse Labs 279,Finance,42,2657.83,103526.58,One Year,1,1,1,1,10.0,0,1,1.0,0.024,31893.96,0.87,High,Elevated Escalation Rate
ACC-0280,Pulse Software 280,Healthcare,8,2818.34,21067.23,Two Year,0,1,1,0,0.0,0,0,0.0,0.125,33820.08,0.26,Low,Elevated Tenure Months
ACC-0281,Vertex Solutions 281,Retail,31,2512.49,70175.86,Two Year,1,1,1,0,1.0,0,0,0.0,0.032,30149.88,0.73,High,Elevated Industry Retail
ACC-0282,Beacon Software 282,Manufacturing,25,3324.46,77080.16,One Year,0,3,3,0,1.0,0,1,0.0,0.12,39893.52,0.07,Low,Elevated Contract Type Two Year
ACC-0283,Vertex Media 283,Manufacturing,8,3178.54,24089.46,Month-to-Month,1,4,4,3,2.75,0,0,0.75,0.5,38142.48,0.99,High,Elevated Escalated Cases
ACC-0284,Nexus Health 284,Retail,22,1248.16,25253.72,One Year,1,2,2,2,43.0,0,0,1.0,0.091,14977.92,0.95,High,Elevated Escalated Cases
ACC-0285,Nova Solutions 285,Technology,35,2875.41,93241.46,One Year,0,0,0,0,0.0,0,0,0.0,0.0,34504.92,0.1,Low,Elevated Total Charges
ACC-0286,Stratum Media 286,Education,28,2989.98,79312.37,One Year,0,0,0,0,0.0,0,0,0.0,0.0,35879.76,0.14,Low,Elevated Total Charges
ACC-0287,Quantum Media 287,Retail,13,2767.09,32632.38,Month-to-Month,1,3,3,1,5.0,0,0,0.333,0.231,33205.08,0.99,High,Elevated Escalation Rate
ACC-0288,Synergy Labs 288,Healthcare,23,3372.78,76528.87,One Year,0,4,4,0,2.5,0,1,0.0,0.174,40473.36,0.14,Low,Elevated Monthly Charges
ACC-0289,Cloud Systems 289,Technology,22,2794.12,56817.31,Month-to-Month,1,7,7,3,6.0,1,0,0.429,0.318,33529.44,0.99,High,Elevated Escalated Cases
ACC-0290,Nova Systems 290,Education,33,3573.18,122600.7,Month-to-Month,1,6,6,2,10.83,0,1,0.333,0.182,42878.16,0.97,High,Elevated Escalated Cases
ACC-0291,Synergy Solutions 291,Retail,8,499.0,3728.8,Month-to-Month,1,5,5,1,0.6,0,0,0.2,0.625,5988.0,0.95,High,Elevated Tenure Months
ACC-0292,Cloud Ventures 292,Healthcare,8,2998.17,22174.24,One Year,0,4,4,0,4.5,0,1,0.0,0.5,35978.04,0.12,Low,Elevated Tenure Months
ACC-0293,Nexus Labs 293,Manufacturing,20,2086.86,39267.2,One Year,0,4,4,1,0.25,0,0,0.25,0.2,25042.32,0.15,Low,Elevated Escalated Cases
ACC-0294,Nexus Analytics 294,Finance,13,2272.1,26939.01,One Year,0,1,1,0,0.0,0,0,0.0,0.077,27265.2,0.17,Low,Elevated Tenure Months
ACC-0295,Nova Logistics 295,Finance,13,1884.0,25045.22,Two Year,0,1,1,0,4.0,0,0,0.0,0.077,22608.0,0.08,Low,Elevated Tenure Months
ACC-0296,Nexus Logistics 296,Education,13,1758.64,23986.7,Month-to-Month,1,5,5,2,2.6,0,2,0.4,0.385,21103.68,0.99,High,Elevated Escalated Cases
ACC-0297,Apex Health 297,Finance,16,2406.59,38032.0,Month-to-Month,1,10,10,5,6.2,0,4,0.5,0.625,28879.08,1.0,High,Elevated Escalated Cases
ACC-0298,Stratum Health 298,Technology,44,2280.81,98315.47,Month-to-Month,0,3,3,0,1.33,0,1,0.0,0.068,27369.72,0.2,Low,Elevated Contract Type One Year
ACC-0299,Stratum Ventures 299,Healthcare,7,2028.91,13898.59,One Year,1,1,1,0,1.0,0,0,0.0,0.143,24346.92,0.53,Medium,Elevated Tenure Months
ACC-0300,Vertex Systems 300,Retail,8,2676.43,21386.47,Month-to-Month,1,4,4,2,2.5,0,1,0.5,0.5,32117.16,0.99,High,Elevated Escalated Cases
