Account_Ref,Case_Type,Priority,Is_Escalated,Days_To_Resolve,Status
ACC-0215,Billing,Medium,0,2,Closed
ACC-0215,Billing,Critical,1,11,Closed
ACC-0216,Billing,High,1,3,Closed
ACC-0216,Technical / Bug,Critical,1,8,New
ACC-0216,Performance / Latency,Medium,0,1,Closed
ACC-0217,Billing,High,1,0,New
ACC-0217,Feature Request,High,1,3,Closed
ACC-0219,Technical / Bug,High,1,8,Closed
ACC-0219,Billing,Low,0,1,Closed
ACC-0219,Feature Request,Medium,0,3,Closed
ACC-0219,Performance / Latency,High,0,3,Closed
ACC-0219,Billing,Medium,1,0,Working
ACC-0219,Feature Request,High,1,2,Closed
ACC-0221,Performance / Latency,High,0,0,Closed
ACC-0221,Performance / Latency,Critical,1,17,Closed
ACC-0221,Performance / Latency,Medium,1,6,Closed
ACC-0221,Performance / Latency,Medium,1,20,Closed
ACC-0221,Technical / Bug,Medium,0,5,Closed
ACC-0222,Technical / Bug,High,1,1,Closed
ACC-0223,Billing,Medium,0,1,Closed
ACC-0223,Onboarding,Low,1,5,Closed
ACC-0223,Technical / Bug,Medium,1,0,Working
ACC-0225,Technical / Bug,Critical,1,39,Closed
ACC-0225,Billing,Medium,0,2,Closed
ACC-0226,Performance / Latency,Medium,0,4,Closed
ACC-0226,Feature Request,High,1,1,Closed
ACC-0228,Billing,Critical,1,3,Closed
ACC-0228,Billing,Medium,1,3,Closed
ACC-0229,Technical / Bug,High,1,3,Closed
ACC-0229,Feature Request,Critical,1,2,Closed
ACC-0229,Technical / Bug,High,1,1,Closed
ACC-0229,Technical / Bug,High,0,2,New
ACC-0229,Technical / Bug,Medium,1,18,Closed
ACC-0229,Performance / Latency,Medium,0,2,Closed
ACC-0229,Billing,Medium,1,1,Closed
ACC-0230,Feature Request,Medium,0,0,Closed
ACC-0230,Onboarding,Low,1,11,Working
ACC-0230,Performance / Latency,Medium,0,1,Closed
ACC-0230,Technical / Bug,Critical,1,1,Escalated
ACC-0230,Billing,High,1,38,Closed
ACC-0230,Performance / Latency,Low,0,2,Working
ACC-0231,Technical / Bug,Medium,0,1,Closed
ACC-0231,Technical / Bug,Low,0,0,Closed
ACC-0231,Feature Request,High,0,0,Closed
ACC-0232,Technical / Bug,Low,1,10,Closed
ACC-0232,Performance / Latency,Low,0,0,Escalated
ACC-0232,Billing,Low,1,11,Closed
ACC-0232,Billing,Medium,0,11,Working
ACC-0232,Technical / Bug,High,0,0,Closed
ACC-0232,Billing,Medium,0,4,Closed
ACC-0232,Feature Request,Medium,1,28,Closed
ACC-0232,Technical / Bug,Medium,0,8,New
ACC-0233,Technical / Bug,Low,0,3,Working
ACC-0234,Billing,Medium,0,1,Closed
ACC-0234,Technical / Bug,Medium,0,7,Escalated
ACC-0235,Billing,Low,0,0,Closed
ACC-0235,Performance / Latency,High,0,1,Closed
ACC-0235,Performance / Latency,Medium,0,3,Closed
ACC-0236,Technical / Bug,Medium,0,4,Working
ACC-0236,Technical / Bug,Low,0,0,Closed
ACC-0236,Billing,Medium,0,2,Working
ACC-0237,Billing,High,1,0,Working
ACC-0237,Billing,Low,0,0,Escalated
ACC-0237,Technical / Bug,Medium,0,0,Working
ACC-0238,Feature Request,Medium,0,6,Closed
ACC-0238,Onboarding,Medium,0,8,Closed
ACC-0238,Billing,High,0,6,Closed
ACC-0239,Billing,Medium,0,0,Escalated
ACC-0241,Technical / Bug,High,1,9,Working
ACC-0241,Feature Request,High,1,3,Escalated
ACC-0243,Feature Request,Medium,0,10,Closed
ACC-0245,Billing,Medium,1,14,Closed
ACC-0245,Billing,High,1,2,New
ACC-0245,Feature Request,Low,1,18,Working
ACC-0245,Billing,Medium,0,2,Closed
ACC-0245,Technical / Bug,Medium,0,9,Closed
ACC-0245,Technical / Bug,High,1,0,Working
ACC-0245,Feature Request,Low,0,0,Closed
ACC-0245,Technical / Bug,Medium,0,2,New
ACC-0246,Feature Request,High,0,5,Escalated
ACC-0247,Feature Request,High,1,46,New
ACC-0247,Billing,Medium,0,5,Closed
ACC-0247,Billing,Medium,1,14,Closed
ACC-0247,Performance / Latency,High,1,15,Escalated
ACC-0247,Billing,Medium,0,2,Working
ACC-0247,Technical / Bug,Medium,0,8,Working
ACC-0247,Technical / Bug,High,1,8,Closed
ACC-0248,Technical / Bug,Medium,1,42,Escalated
ACC-0248,Feature Request,Medium,1,6,New
ACC-0249,Onboarding,High,1,15,Closed
ACC-0249,Onboarding,Medium,0,5,New
ACC-0250,Technical / Bug,High,0,1,Closed
ACC-0251,Technical / Bug,High,0,7,Closed
ACC-0251,Onboarding,Low,0,0,Closed
ACC-0252,Performance / Latency,Medium,0,1,Working
ACC-0252,Billing,Low,0,0,Working
ACC-0253,Feature Request,Low,0,1,Closed
ACC-0254,Technical / Bug,Low,1,6,Working
ACC-0254,Billing,Low,0,11,Working
ACC-0254,Technical / Bug,Low,0,0,Closed
ACC-0255,Technical / Bug,Medium,0,1,Closed
ACC-0255,Billing,High,1,3,Closed
ACC-0255,Onboarding,High,1,4,Escalated
ACC-0255,Feature Request,Medium,0,3,Escalated
ACC-0255,Technical / Bug,Low,0,10,Closed
ACC-0256,Billing,Medium,0,10,Closed
ACC-0256,Performance / Latency,Low,0,0,Closed
ACC-0256,Technical / Bug,Medium,1,13,Closed
ACC-0256,Technical / Bug,High,1,14,New
ACC-0257,Billing,High,1,16,Closed
ACC-0257,Technical / Bug,Medium,0,6,Closed
ACC-0257,Feature Request,Medium,0,0,Closed
ACC-0257,Feature Request,Medium,0,2,Closed
ACC-0258,Feature Request,Medium,0,11,Closed
ACC-0258,Technical / Bug,Medium,0,0,Closed
ACC-0258,Technical / Bug,Medium,0,0,Closed
ACC-0258,Technical / Bug,Medium,1,6,Working
ACC-0258,Performance / Latency,High,1,1,Closed
ACC-0259,Technical / Bug,Low,0,2,Closed
ACC-0259,Billing,Medium,0,3,Closed
ACC-0259,Billing,Critical,1,3,Closed
ACC-0260,Technical / Bug,Medium,1,3,New
ACC-0261,Technical / Bug,High,0,2,Closed
ACC-0261,Feature Request,Low,0,4,Working
ACC-0261,Billing,Medium,1,16,Closed
ACC-0261,Technical / Bug,Medium,0,2,Escalated
ACC-0261,Performance / Latency,High,1,0,Closed
ACC-0261,Onboarding,Low,0,1,Working
ACC-0261,Technical / Bug,Medium,0,7,Closed
ACC-0261,Technical / Bug,Low,0,2,Closed
ACC-0261,Onboarding,High,1,9,Working
ACC-0262,Performance / Latency,Medium,1,33,Closed
ACC-0262,Billing,Medium,1,0,Closed
ACC-0262,Performance / Latency,Medium,0,5,Closed
ACC-0262,Billing,Medium,0,1,Closed
ACC-0262,Technical / Bug,Medium,1,7,Closed
ACC-0264,Technical / Bug,Critical,1,13,Closed
ACC-0267,Feature Request,High,1,9,Closed
ACC-0267,Billing,Medium,1,8,Closed
ACC-0267,Performance / Latency,Medium,0,0,Closed
ACC-0267,Billing,Medium,0,5,Closed
ACC-0267,Feature Request,Low,0,3,Closed
ACC-0267,Billing,High,0,5,Escalated
ACC-0268,Technical / Bug,Critical,1,0,Working
ACC-0268,Technical / Bug,Medium,0,3,Working
ACC-0268,Feature Request,Medium,1,15,Closed
ACC-0268,Billing,Low,0,2,Escalated
ACC-0270,Feature Request,Medium,0,2,Closed
ACC-0271,Feature Request,Medium,0,2,New
ACC-0271,Technical / Bug,Medium,0,2,Closed
ACC-0271,Technical / Bug,Medium,0,0,New
ACC-0271,Feature Request,Medium,0,2,Closed
ACC-0271,Performance / Latency,Low,0,0,Working
ACC-0272,Performance / Latency,Medium,0,0,Closed
ACC-0272,Technical / Bug,High,0,4,Working
ACC-0273,Technical / Bug,Medium,0,2,Escalated
ACC-0273,Technical / Bug,Low,0,5,New
ACC-0273,Billing,Low,0,5,Closed
ACC-0274,Billing,Medium,0,4,Closed
ACC-0274,Technical / Bug,Medium,0,6,Closed
ACC-0274,Onboarding,Medium,1,2,Closed
ACC-0274,Feature Request,Medium,1,0,Closed
ACC-0275,Onboarding,High,0,0,Closed
ACC-0277,Feature Request,Low,0,0,Closed
ACC-0277,Technical / Bug,Medium,0,3,Closed
ACC-0278,Billing,Medium,0,3,Escalated
ACC-0278,Performance / Latency,Low,0,2,Closed
ACC-0278,Feature Request,High,1,16,Working
ACC-0278,Technical / Bug,High,1,2,Working
ACC-0278,Billing,Medium,1,2,Working
ACC-0278,Billing,Low,0,6,Closed
ACC-0279,Performance / Latency,High,1,10,Closed
ACC-0280,Performance / Latency,Medium,0,0,Closed
ACC-0281,Onboarding,Medium,0,1,Closed
ACC-0282,Feature Request,Medium,0,0,Closed
ACC-0282,Feature Request,High,0,3,Closed
ACC-0282,Technical / Bug,Medium,0,0,Closed
ACC-0283,Feature Request,Medium,1,5,Closed
ACC-0283,Performance / Latency,Medium,1,6,Closed
ACC-0283,Onboarding,Medium,1,0,Closed
ACC-0283,Technical / Bug,Medium,0,0,Closed
ACC-0284,Billing,Medium,1,66,Closed
ACC-0284,Technical / Bug,Medium,1,20,New
ACC-0287,Billing,Medium,1,11,Working
ACC-0287,Billing,Low,0,4,Closed
ACC-0287,Technical / Bug,Medium,0,0,Closed
ACC-0288,Feature Request,Low,0,1,Closed
ACC-0288,Feature Request,Medium,0,0,Closed
ACC-0288,Feature Request,High,0,2,Escalated
ACC-0288,Feature Request,Medium,0,7,Closed
ACC-0289,Billing,Medium,1,13,Closed
ACC-0289,Billing,Critical,1,13,Closed
ACC-0289,Technical / Bug,Medium,0,1,Closed
ACC-0289,Billing,Medium,0,8,Escalated
ACC-0289,Feature Request,Medium,1,2,Closed
ACC-0289,Billing,Medium,0,2,Closed
ACC-0289,Technical / Bug,Low,0,3,Closed
ACC-0290,Billing,Medium,0,4,Closed
ACC-0290,Technical / Bug,Low,1,11,Closed
ACC-0290,Performance / Latency,Medium,0,3,Escalated
ACC-0290,Performance / Latency,Low,0,5,Escalated
ACC-0290,Technical / Bug,Medium,0,4,Working
ACC-0290,Performance / Latency,High,1,38,Closed
ACC-0291,Billing,Medium,1,0,Closed
ACC-0291,Technical / Bug,Low,0,0,Closed
ACC-0291,Technical / Bug,Medium,0,1,Working
ACC-0291,Billing,Medium,0,0,Closed
ACC-0291,Feature Request,Low,0,2,Escalated
ACC-0292,Technical / Bug,Low,0,2,Closed
ACC-0292,Technical / Bug,High,0,10,Working
ACC-0292,Feature Request,Medium,0,1,Working
ACC-0292,Technical / Bug,Low,0,5,Closed
ACC-0293,Technical / Bug,Low,1,0,Closed
ACC-0293,Technical / Bug,Low,0,0,Working
ACC-0293,Feature Request,Low,0,0,Closed
ACC-0293,Technical / Bug,Medium,0,1,New
ACC-0294,Billing,Medium,0,0,Closed
ACC-0295,Billing,Low,0,4,Working
ACC-0296,Feature Request,High,1,3,Closed
ACC-0296,Technical / Bug,High,0,2,Closed
ACC-0296,Feature Request,Medium,0,0,Closed
ACC-0296,Technical / Bug,Medium,1,7,Closed
ACC-0296,Feature Request,Low,0,1,Closed
ACC-0297,Billing,Medium,0,0,Closed
ACC-0297,Feature Request,High,1,8,Closed
ACC-0297,Technical / Bug,Medium,0,4,New
ACC-0297,Feature Request,Medium,1,8,Closed
ACC-0297,Technical / Bug,High,1,7,Closed
ACC-0297,Technical / Bug,Medium,0,5,Escalated
ACC-0297,Feature Request,Medium,1,5,Working
ACC-0297,Billing,High,1,23,Closed
ACC-0297,Technical / Bug,Medium,0,1,Closed
ACC-0297,Billing,High,0,1,Closed
ACC-0298,Performance / Latency,Medium,0,1,Working
ACC-0298,Feature Request,High,0,3,Closed
ACC-0298,Technical / Bug,Medium,0,0,Closed
ACC-0299,Technical / Bug,Medium,0,1,Closed
ACC-0300,Performance / Latency,Low,1,2,Closed
ACC-0300,Billing,High,1,2,Closed
ACC-0300,Technical / Bug,Medium,0,6,Closed
ACC-0300,Billing,Low,0,0,Escalated
